股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH601336,新华保险,47.0,2.0,13.72,56.25,25062688,1157535381.0,10.845,146618690200.0,1.2,2.298
SH603259,药明康德,77.05,3.25,43.98,-3.63,43575972,3304347009.0,24.096,228701006047.0,1.7,1.158
SH600383,金地集团,8.77,0.37,185.56,-14.27,249935448,2131507277.0,6.611,39592897926.0,5.54,1.551
SH688238,和元生物,11.16,0.47,65.61,-23.88,7358537,81345323.0,,7225353396.0,2.07,0.0
SH688114,华大智造,92.0,3.87,14.71,-16.87,786725,71500066.0,24.92,38238661408.0,2.33,0.391
SZ002865,钧达股份,111.98,4.68,43.98,-15.03,13128133,1479920867.86,24.254,25449033246.0,6.75,0.334
SZ301228,实朴检测,17.65,0.73,81.52,14.46,7371329,127927470.03,,2118000000.0,13.44,0.0
SZ300094,国联水产,5.36,0.22,-0.63,-11.7,152459374,811192684.34,,6046976476.0,13.83,0.0
SH600376,首开股份,5.13,0.21,178.85,-7.65,87922879,441420416.0,,13233169691.0,3.41,1.949
SH688177,百奥泰,28.06,1.15,83.76,28.83,1633658,45198541.0,,11619084800.0,0.39,0.0
SZ001227,兰州银行,3.18,0.13,43.98,-12.01,247706089,784368732.16,10.147,18112316994.0,8.95,3.774
SH688041,海光信息,63.29,2.57,66.94,57.83,15564696,978554115.0,163.548,147107357779.0,7.35,0.063
SH600748,上实发展,5.24,0.21,110.74,53.01,127420272,650057815.0,23.117,9665509554.0,6.91,0.382
SH603237,五芳斋,30.85,1.23,44.0,-7.69,2737317,83528160.0,42.094,4437470170.0,7.76,2.515
SZ301230,泓博医药,45.98,1.83,28.08,21.52,2443118,111758271.8,68.67,4948490183.0,10.07,0.776
SZ301116,益客食品,17.67,0.7,212.46,3.72,22674520,401958139.85,31.378,7933469408.0,19.46,0.283
SH688131,皓元医药,59.47,2.35,382.27,-22.87,1781651,105346798.0,50.375,8943535050.0,2.07,0.456
SZ301089,拓新药业,62.7,2.47,50.81,-12.46,4426267,276088612.3,14.047,7900200000.0,5.74,0.638
SZ002655,共达电声,13.71,0.54,33.91,23.24,21053703,285918565.72,93.799,5013801840.0,5.85,0.292
SH600079,人福医药,22.43,0.88,0.0,-5.52,40979758,917470079.0,16.384,36620512368.0,2.81,0.713
SH600605,汇通能源,20.92,0.82,,105.75,5264420,109608647.0,319.251,4315428415.0,2.55,0.478
SH600509,天富能源,7.18,0.28,107.14,38.61,29093926,207014255.0,66.631,9901454118.0,2.53,0.0
SH688372,伟测科技,101.69,3.97,81.59,39.63,1495143,152599577.0,51.092,11528992908.0,6.13,0.643
SZ300751,迈为股份,204.97,7.99,44.0,-19.94,4720671,966687850.65,63.22,57082865167.0,2.48,0.458
SZ301281,科源制药,28.77,1.12,-12.29,-7.92,8764990,255623892.38,32.481,3115503300.0,34.12,0.994
SH688153,唯捷创芯,68.36,2.66,-36.04,86.11,2542778,173886163.0,,28585775396.0,2.83,0.0
SH603590,康辰药业,34.21,1.33,44.0,37.99,2966818,100749203.0,48.723,5473600000.0,1.85,0.585
SZ300051,三五互联,13.15,0.51,10.03,44.51,14409035,187909722.77,,4808937774.0,3.94,0.0
SZ002548,金新农,7.22,0.28,16.88,20.13,24241230,172997237.44,81.129,5820147946.0,3.63,0.0
SZ300842,帝科股份,68.38,2.64,43.98,33.06,7911426,539304657.37,135.436,6855095000.0,9.22,0.0
SZ300045,华力创通,10.64,0.41,27.0,62.94,36035915,388033459.53,,7050864511.0,7.31,0.0
SH603719,良品铺子,26.53,1.02,44.03,-27.39,12341528,323749568.0,27.201,10638530000.0,3.08,0.954
SH603396,金辰股份,61.13,2.35,44.02,-26.36,3651684,221699115.0,113.339,7100190937.0,3.15,0.278
SZ300377,赢时胜,8.7,0.33,44.02,7.2,34069017,292639584.87,825.615,6535136196.0,5.1,1.149
SZ300757,罗博特科,71.72,2.72,44.02,37.09,4688342,333190551.24,288.376,7917098076.0,4.51,0.139
SH600511,国药股份,33.65,1.27,131.0,23.13,7950515,263935161.0,12.665,25389025883.0,1.44,2.324
SH605011,杭州热电,33.38,1.26,43.92,120.24,14654122,487798830.0,62.832,13355338000.0,12.1,0.479
SH601628,中国人寿,38.0,1.43,106.2,3.87,29991298,1122854752.0,30.85,1074058790000.0,0.14,1.289
SH600303,ST曙光,5.07,0.19,111.7,-17.02,24198780,121847222.0,,3425313350.0,3.58,0.0
SZ301030,仕净科技,58.2,2.18,345.41,39.53,7709512,452584052.14,69.701,8360233400.0,7.36,0.0
SH603538,美诺华,17.62,0.66,43.98,-31.02,6643782,115503198.0,14.087,3760191078.0,3.15,0.936
SZ301076,新瀚新材,23.3,0.87,51.29,33.51,4847218,111759500.35,29.175,3134409200.0,6.99,1.983
SH688278,特宝生物,35.66,1.33,328.4,-7.93,2136292,75377420.0,46.237,14506488000.0,0.77,0.597
SH688202,美迪西,95.25,3.52,71.08,-37.48,2521586,236779737.0,32.0,11603677517.0,2.73,0.293
SZ300347,泰格医药,68.89,2.54,32.0,-33.69,10704602,726606930.38,29.224,60100891176.0,1.88,0.798
SH600645,中源协和,17.77,0.65,-36.62,4.47,16442056,296069296.0,72.601,8315451775.0,3.51,0.0
SH603883,老百姓,29.37,1.07,44.0,-26.14,11000848,319514990.0,20.596,17187150012.0,1.89,1.702
SH601155,新城控股,16.87,0.61,198.88,-17.71,57691513,950326004.0,24.66,38052357581.0,2.56,0.0
SZ301208,中亦科技,38.26,1.38,22.45,13.47,5461582,210761487.01,26.527,3826001913.0,15.41,1.325
SH600837,海通证券,10.62,0.38,204.0,24.86,115107217,1203499307.0,18.551,138741804000.0,1.3,1.977
SH600129,太极集团,50.5,1.8,0.0,68.0,9775665,491462029.0,49.94,28122982572.0,1.76,0.0
SZ000513,丽珠集团,36.96,1.32,81.82,18.64,7305685,267372197.41,17.842,34578027312.0,1.21,4.329
SZ002658,雪迪龙,9.0,0.32,31.16,16.16,30520470,272452186.11,24.251,5671069524.0,8.91,4.333
SZ300401,花园生物,12.35,0.44,43.94,-13.19,10731883,131963121.96,23.925,6804943329.0,1.98,1.134
SZ300997,欢乐家,14.92,0.53,527.53,15.73,9290072,136562562.8,28.292,6714000000.0,10.32,1.408
SZ000716,黑芝麻,7.88,0.28,293.33,-1.5,97334449,760731123.99,,5862716454.0,14.13,0.0
SZ002356,赫美集团,5.91,0.21,-3.32,1.2,65812600,400391724.47,,7749514219.0,5.02,0.0
SZ002837,英维克,29.88,1.06,44.0,17.23,11330414,335522295.82,57.676,16881494802.0,2.35,0.489
SH603919,金徽酒,27.41,0.97,43.97,3.67,7855096,212882359.0,46.754,13903996518.0,1.55,1.094
SH600159,大龙地产,3.97,0.14,0.0,31.46,143686829,555167312.0,,3295112831.0,17.31,0.0
SH600059,古越龙山,11.36,0.4,0.0,17.98,20966467,235748023.0,54.009,10355121812.0,2.3,0.704
