股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ002488,金固股份,7.53,0.23,15.45,24.67,62663378,467944368.87,141.968,7544418602.0,6.88,0.0
SH688595,芯海科技,34.5,1.05,175.24,-14.24,2541273,87099387.0,,4912146674.0,3.21,0.0
SH688310,迈得医疗,30.58,0.93,25.17,73.01,746519,22515537.0,46.031,3591978939.0,0.64,1.122
SZ000712,锦龙股份,14.55,0.44,0.0,12.44,35392993,503433994.43,,13036800000.0,3.95,0.0
SZ001219,青岛食品,19.54,0.59,44.01,-0.23,6455152,125457666.61,29.993,2930755750.0,8.53,1.182
SZ301096,百诚医药,63.62,1.92,26.98,-5.74,2549636,161410867.93,32.816,6881563355.0,3.72,1.257
SZ300317,珈伟新能,5.64,0.17,18.45,16.77,30066164,169385488.12,91.508,4658817152.0,3.64,0.0
SH900943,开开B股,0.531,0.016,0.0,-7.6,687875,360217.0,22.462,129033000.0,0.86,1.318
SZ002589,瑞康医药,3.65,0.11,22.2,-11.41,27028932,97413564.22,,5492193219.0,2.33,0.0
SZ002644,佛慈制药,11.3,0.34,20.19,21.63,6110690,68215664.52,51.632,5770424100.0,1.2,0.442
SZ300762,上海瀚讯,14.96,0.45,43.98,13.64,33710427,505563967.81,96.323,9404384686.0,5.37,0.094
SZ003000,劲仔食品,11.98,0.36,44.02,3.27,6107025,72778520.51,37.57,5403808525.0,2.73,1.836
SZ002723,小崧股份,12.33,0.37,44.1,-11.61,16894510,207336502.05,289.309,3921024781.0,5.48,0.0
SH605337,李子园,19.38,0.58,44.01,8.92,5773683,110859133.0,31.931,7644061152.0,3.74,1.192
SH603696,安记食品,10.41,0.31,43.96,-3.26,15786448,164156179.0,101.03,2448432000.0,6.71,0.48
SH688179,阿拉丁,21.82,0.65,131.91,-14.77,6772359,147482545.0,55.028,4323164896.0,6.56,0.82
SH600085,同仁堂,52.07,1.54,0.0,17.26,10672829,551120584.0,46.096,71412456542.0,0.78,0.615
SZ300313,*ST天山,5.41,0.16,18.46,-12.18,4886200,26586650.0,,1693207712.0,2.65,0.0
SZ001236,弘业期货,15.95,0.47,44.09,17.97,27531809,430974904.49,1439.867,16074055559.0,27.32,0.188
SZ000028,国药一致,35.21,1.04,-15.83,41.1,4165859,145078773.35,12.274,19596656361.0,0.87,1.747
SH600438,通威股份,35.39,1.04,62.8,-0.65,52258278,1843468093.0,5.469,159324640831.0,1.16,8.076
SH605300,佳禾食品,22.89,0.67,44.0,29.99,2026700,46000459.0,56.73,9156228900.0,3.52,0.393
SZ001318,阳光乳业,15.03,0.44,43.97,-20.87,11318557,169472153.71,39.237,4248379800.0,16.01,0.998
SZ002926,华西证券,9.56,0.28,43.97,26.96,64207044,607659859.31,25.231,25095000000.0,2.45,0.314
SH601066,中信建投,27.4,0.8,43.91,15.37,39748738,1076606250.0,25.307,212533437438.0,1.04,0.985
SH600859,王府井,23.59,0.69,37.25,-15.78,28730457,667523093.0,589.842,26775816549.0,2.63,0.424
SH600155,华创云信,7.98,0.23,0.0,22.77,177616550,1394958455.0,37.14,18046160663.0,7.85,0.0
SZ002099,海翔药业,7.98,0.23,53.98,14.52,8109241,64345457.46,299.765,12917347719.0,0.5,0.627
SZ002310,东方园林,2.43,0.07,98.81,15.71,276858912,671356944.17,,6525672670.0,10.63,0.0
SZ300434,金石亚药,12.52,0.36,43.99,-8.01,7330880,90896420.0,17.012,5029833277.0,2.21,0.0
SZ300908,仲景食品,45.65,1.31,203.98,21.78,1981818,89803297.98,30.782,4565000000.0,5.12,2.191
SH601688,华泰证券,17.08,0.49,5.3,34.07,141729858,2396344277.0,12.829,155011060581.0,1.93,2.635
SZ300844,山水比德,53.41,1.53,16.79,138.54,8960252,487755534.11,,3452422400.0,53.46,0.0
SH601601,中国太保,30.34,0.86,60.57,28.59,53921068,1618125823.0,10.767,291881159745.0,0.79,3.362
SZ300199,翰宇药业,10.26,0.29,-2.95,-41.64,22877969,233165519.37,,9062056107.0,3.43,0.0
SH600161,天坛生物,25.58,0.72,0.0,8.01,10419677,264164007.0,41.415,42150967982.0,0.63,0.195
SZ000627,天茂集团,3.55,0.1,166.67,16.22,83690616,293827645.1,101.996,17539233536.0,1.84,3.099
SZ300446,乐凯新材,13.87,0.39,43.95,38.7,11008045,151532688.55,584.549,2810339400.0,5.57,0.0
SZ301229,纽泰格,35.98,1.01,221.6,27.83,5854828,208542321.14,56.696,2878400000.0,17.16,0.278
SH601377,兴业证券,7.15,0.2,48.6,24.56,187674325,1325519791.0,18.659,61747309152.0,2.17,4.336
SH601788,光大证券,18.57,0.52,29.98,24.88,101796738,1863215756.0,24.599,85622326456.0,2.61,1.131
SH603711,香飘飘,18.62,0.52,44.01,24.77,1829422,33810264.0,27.372,7648086796.0,0.45,0.859
SH600909,华安证券,5.75,0.16,43.99,28.0,204192843,1153459712.0,18.769,27011562078.0,4.35,1.739
SZ300174,元力股份,18.32,0.51,5.54,-7.93,10141358,186341338.73,30.415,6657851835.0,2.8,0.273
SH600329,达仁堂,38.9,1.08,180.0,36.58,7824384,303452752.0,28.188,29962727956.0,1.38,2.879
SZ002332,仙琚制药,12.59,0.35,144.27,13.71,14297144,179075652.29,16.5,12454089263.0,1.46,2.383
SH601990,南京证券,9.08,0.25,44.06,15.9,99502031,893322764.0,45.411,33472158189.0,2.75,1.101
SZ300534,陇神戎发,9.81,0.27,43.99,10.6,12106561,117763034.69,69.513,2975814450.0,4.02,0.0
SZ300006,莱美药业,3.64,0.1,116.97,-4.46,27840334,101340503.08,,3843516786.0,3.43,0.0
SZ300437,清水源,15.75,0.43,43.97,-8.43,9371979,145436287.08,,4080243778.0,5.27,0.0
SH600266,城建发展,7.68,0.21,0.0,68.41,272570540,2000338886.0,115.741,17330208768.0,12.08,1.302
SZ002750,龙津药业,9.52,0.26,43.99,-14.47,10143775,96316436.78,,3812760000.0,2.55,0.0
SH603906,龙蟠科技,16.23,0.44,44.01,-29.89,16401188,264414712.0,28.917,9171230596.0,2.9,1.146
SH688506,百利天恒-U,88.06,2.38,29.76,256.52,597987,52836534.0,,35312060000.0,1.71,0.0
SZ000776,广发证券,16.64,0.45,0.0,7.42,132371625,2172228079.84,14.438,126814898729.0,2.24,2.103
SZ301211,亨迪药业,24.09,0.65,44.65,-15.54,5252423,126629889.02,50.391,6937920000.0,7.59,1.382
SZ300725,药石科技,51.7,1.39,43.99,-35.65,4445115,228858392.3,34.279,10322654650.0,2.64,0.193
SZ002603,以岭药业,24.61,0.66,29.28,-16.18,25360567,619342760.84,13.349,41116059303.0,1.84,2.032
SZ300685,艾德生物,25.66,0.69,44.01,-2.47,6714692,171214322.54,33.918,10216696688.0,1.69,0.546
SZ300702,天宇股份,23.54,0.63,44.0,-7.76,2683257,62766602.42,,8191382323.0,1.28,0.0
SZ002482,*ST广田,2.24,0.06,15.53,23.08,12529000,27998586.0,,3443506432.0,0.82,0.0
SH600864,哈投股份,6.38,0.17,122.83,35.74,109031626,684919378.0,,13274039918.0,5.24,0.0
SH603899,晨光股份,46.08,1.23,44.03,-15.25,4688042,214653297.0,31.854,42697569946.0,0.51,1.085
SZ002500,山西证券,6.77,0.18,70.13,29.59,111542347,742916873.07,31.979,24302753373.0,3.11,1.182
SZ002893,京能热力,12.89,0.34,44.04,53.18,29451684,378498800.92,45.858,2614092000.0,14.6,0.334
