排名:,标题:,主演:,评分:
141,神偷奶爸,...,8.7
142,被解救的姜戈,杰米·福克斯,8.8
143,玛丽和马克思,托妮·科莱特,9.0
144,告白,松隆子,8.8
145,大鱼,伊万·麦克格雷格,8.8
146,哪吒闹海,梁正晖,9.2
147,射雕英雄传之东成西就,梁朝伟,8.7
148,茶馆,于是之,9.6
149,头号玩家,泰伊·谢里丹,8.7
150,喜宴,赵文瑄,9.0
151,模仿游戏,本尼迪克特·康伯巴奇,8.8
152,九品芝麻官,周星驰,8.7
153,阳光姐妹淘,沈恩京,8.8
154,我是山姆,Sean,9.0
155,色，戒,梁朝伟,8.7
156,花样年华,梁朝伟,8.7
157,血战钢锯岭,安德鲁·加菲尔德,8.7
158,恐怖直播,河正宇,8.7
159,七武士,三船敏郎,9.3
160,头脑特工队,,8.8
161,惊魂记,安东尼·博金斯,9.0
162,黑客帝国3：矩阵革命,,8.8
163,你的名字。,神木隆之介,8.5
164,电锯惊魂,雷·沃纳尔,8.8
165,三块广告牌,弗兰西斯·麦克多蒙德,8.7
166,达拉斯买家俱乐部,马修·麦康纳,8.8
167,疯狂原始人,,8.7
168,心迷宫,霍卫民,8.7
169,谍影重重3,马特·达蒙,8.8
170,上帝之城,,9.0
171,英雄本色,周润发,8.6
172,卢旺达饭店,唐·钱德尔,8.9
173,纵横四海,周润发,8.8
174,风之谷,岛本须美,8.9
175,海街日记,绫濑遥,8.8
176,爱在午夜降临前,伊桑·霍克,8.9
177,绿里奇迹,汤姆·汉克斯,8.9
178,记忆碎片,盖·皮尔斯,8.7
179,岁月神偷,吴君如,8.7
180,疯狂的石头,郭涛,8.6
181,忠犬八公物语,仲代达矢,9.2
182,雨中曲,吉恩·...,9.1
183,荒蛮故事,达里奥·葛兰帝内提,8.8
184,小丑,杰昆·菲尼克斯,8.7
185,背靠背，脸对脸,牛振华,9.5
186,2001太空漫游,凯尔·杜拉,8.9
187,小偷家族,中川雅也,8.7
188,爆裂鼓手,迈尔斯·特勒,8.7
189,无敌破坏王,约翰·C·赖利,8.7
190,无间道2,陈冠希,8.7
191,心灵奇旅,杰米·...,8.7
192,贫民窟的百万富翁,戴夫...,8.6
193,冰川时代,,8.6
194,恐怖游轮,梅利莎·乔治,8.5
195,东邪西毒,张国荣,8.6
196,牯岭街少年杀人事件,张震,8.9
